,raw_in,v_in,raw_out,v_out
0,0.0,0.001750053407391583,0.0,0.0
100,100.0,0.08200250251777703,102.0,0.0821978021978022
200,200.0,0.16025489059114353,203.0,0.16358974358974357
300,300.0,0.23925730155339214,297.0,0.23934065934065935
400,400.0,0.31975975829340497,394.0,0.31750915750915754
500,500.0,0.4007622302926725,499.0,0.4021245421245421
600,600.0,0.4800146488845485,595.0,0.4794871794871795
700,700.0,0.5588920560319834,695.0,0.5600732600732601
800,800.0,0.6385194860683004,788.0,0.6350183150183151
900,900.0,0.7180219122898037,894.0,0.7204395604395604
1000,1000.0,0.7973993346964935,990.0,0.7978021978021977
1100,1100.0,0.8772767723624378,1091.0,0.8791941391941391
1200,1200.0,0.9566541947691275,1190.0,0.958974358974359
1300,1300.0,1.0359066133610035,1283.0,1.0339194139194139
1400,1400.0,1.1150340281380657,1388.0,1.1185347985347984
1500,1500.0,1.1944114505447554,1485.0,1.1967032967032967
1600,1600.0,1.2749139072847682,1584.0,1.2764835164835164
1700,1700.0,1.3544163335062716,1686.0,1.3586813186813185
1800,1800.0,1.4347937864314706,1781.0,1.4352380952380952
1900,1900.0,1.513921201208533,1888.0,1.5214652014652015
2000,2000.0,1.5936736350596639,1979.0,1.5947985347985347
2100,2100.0,1.673551072725608,2083.0,1.6786080586080585
2200,2200.0,1.753178502761925,2187.0,1.7624175824175823
2300,2300.0,1.8328059327982422,2282.0,1.838974358974359
2400,2400.0,1.9119333475753044,2385.0,1.921978021978022
2500,2500.0,1.9910607623523668,2484.0,2.0017582417582416
2600,2600.0,2.0728132572405165,2580.0,2.079120879120879
2700,2700.0,2.152565691091647,2678.0,2.158095238095238
2800,2800.0,2.232943144016846,2782.0,2.241904761904762
2900,2900.0,2.3128205816827903,2875.0,2.3168498168498166
3000,3000.0,2.3929480269783623,2983.0,2.4038827838827834
3100,3100.0,2.475075533310953,3067.0,2.4715750915750916
3200,3200.0,2.5539529404583883,3167.0,2.5521611721611723
3300,3300.0,2.6329553514206365,3277.0,2.6408058608058607
3400,3400.0,2.71245777764214,3371.0,2.7165567765567764
